,name,hand,height,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,Under Pressure Rating, % Break Point Saved, % Break Points Converted Pressure, % Deciding Sets Won, % Tie Breaks Won,rang
34,patrik kuhnen,R,190.0,10.0,3.0,0.33451421033372547,0.14708485958485956,0.4235294117647059,0.6199367625838216,0.6529676434676434,0.5870885039539048,48.4,0.5581132355264787,,,,,,89.0
35,tomas carbonell,R,178.0,55.0,28.0,0.42953731364875597,0.3393319173399388,0.45866870503234136,0.5108311495268016,0.6688334165769646,0.6894634340015441,107.50909090909092,0.5724118783558663,201.8,56.2%,42.3%,50.0%,53.3%,89.0
36,andrei olhovskiy,R,185.0,41.0,18.0,0.3546429314442393,0.19141539657882994,0.40975758658685485,0.48908093341378855,0.7862863294012319,0.5584086136221477,98.58536585365853,0.6390031273245204,177.4,60.6%,38.6%,47.8%,30.4%,65.0
37,goran ivanisevic,L,193.0,82.0,57.0,0.36807561471275674,0.2229348899576239,0.3655247673740215,0.5700256987021692,0.8619333876228206,0.5573866295919567,78.85365853658537,0.6878356488138765,232.9,67.7%,35.5%,73.9%,55.8%,7.0
39,henrik holm,R,183.0,41.0,17.0,0.372633524761411,0.2190534291178678,0.38902001274669856,0.5104620311937383,0.7318257261381735,0.49694009208823786,71.82926829268293,0.6065814904777935,187.2,54.5%,41.1%,56.3%,35.3%,48.0
40,richey reneberg,R,180.0,56.0,32.0,0.41553119374256925,0.3190412591762154,0.4315231004375741,0.5345862509983752,0.7741233729353707,0.5423225531575977,84.125,0.630199302111126,226.3,58.8%,43.6%,53.3%,70.6%,30.0
41,jacco eltingh,R,188.0,58.0,36.0,0.34084838379460186,0.1587371862980382,0.3403747832627143,0.598944834746052,0.840419102158453,0.6313129040574535,96.72413793103448,0.6665157055075163,229.8,63.9%,33.0%,52.9%,80.0%,63.0
42,fabrice santoro,R,178.0,35.0,19.0,0.4222049270984499,0.3141169368933344,0.4008379715522573,0.6444103328977279,0.6966558045129473,0.598153899021785,86.6,0.5840482151983248,223.3,63.1%,43.5%,50.0%,66.7%,55.0
43,guillaume raoux,R,180.0,34.0,15.0,0.3642418983711636,0.20519080432575243,0.34678688766059007,0.5454344482891195,0.7415637635144556,0.5303578797871441,93.0,0.6157669729706741,194.2,59.7%,34.5%,50.0%,50.0%,85.0
44,rodolphe gilbert,L,183.0,31.0,9.0,0.34594465308238204,0.18178564583213536,0.38857139592433715,0.4863592092028277,0.6963519450189278,0.5135452726700948,55.12903225806452,0.5891772802404988,170.9,55.2%,36.2%,33.3%,46.2%,81.0
45,jeff tarango,L,180.0,44.0,18.0,0.3789714796633424,0.2530955081757221,0.40601620601620597,0.559734520529975,0.7356929185639078,0.6191007539676444,82.6590909090909,0.6089978721288404,190.2,59.8%,42.0%,42.9%,45.5%,91.0
46,paul haarhuis,R,188.0,46.0,26.0,0.365948585597172,0.2600877649630845,0.451728820378706,0.6447949528074713,0.7546461184422656,0.5952735604622689,88.1086956521739,0.6142867769017942,231.4,64.6%,41.8%,75.0%,50.0%,42.0
47,olivier delaitre,R,170.0,40.0,19.0,0.37358261044919916,0.22989909885865764,0.3810290404040404,0.5792880146169619,0.7443920050537699,0.5657285424847446,102.95,0.6136309479821372,192.9,60.2%,44.2%,38.5%,50.0%,83.0
48,leonardo lavalle,L,188.0,1.0,0.0,0.3582089552238806,0.25,0.75,0.42857142857142855,0.6666666666666666,0.620253164556962,33.0,0.5569620253164557,,,,,,99.0
49,carl uwe steeb,L,180.0,24.0,8.0,0.36485289045152686,0.21894401894401894,0.4586738492988493,0.6025045807654502,0.7024713134088135,0.5671626972341786,74.41666666666667,0.5908539669172354,,,,,,94.0
50,malivai washington,R,180.0,57.0,35.0,0.3954116750796404,0.277022137287332,0.4391332397076246,0.5024992264930347,0.7846404958206326,0.6075510884281002,100.29824561403508,0.6414691948233281,209.4,58.1%,44.3%,63.0%,44.0%,23.0
52,marcelo filippini,R,178.0,34.0,19.0,0.41827410925390585,0.30481180920194756,0.3753201863495981,0.6627302436125966,0.7569068474777818,0.6526816271522372,101.94117647058823,0.6131786836987118,209.7,64.6%,39.5%,50.0%,55.6%,87.0
53,andrei chesnokov,R,188.0,61.0,36.0,0.4215772598308833,0.3378698543876436,0.4607707075078796,0.537733470928289,0.6991708080304995,0.5893630413020452,81.60655737704919,0.5858246036535258,236.3,60.2%,45.2%,62.5%,68.4%,27.0
54,luiz mattar,R,183.0,35.0,18.0,0.35948039698832807,0.19818498961356112,0.3097985347985348,0.5398025783740068,0.7228096903096902,0.5695796293503156,101.6,0.59793264687131,238.4,57.0%,36.8%,87.5%,57.1%,70.0
56,jaime yzaga,R,170.0,54.0,28.0,0.39350163478746447,0.2691289880251868,0.45161067750937034,0.5590716519605841,0.7055843391957368,0.5851542870134232,75.72222222222223,0.5905964467053183,214.4,58.6%,44.2%,48.0%,63.6%,31.0
58,brett steven,R,185.0,44.0,20.0,0.3884454307352799,0.25103136420526645,0.38890936566404477,0.5823478289387379,0.7318215759246226,0.6212541091396395,74.72727272727273,0.6026703205715115,204.6,59.5%,38.8%,56.3%,50.0%,43.0
59,simon youl,R,185.0,6.0,1.0,0.32652461057031124,0.10268518518518517,0.30833333333333335,0.6333573833573835,0.8123611111111112,0.5784425626538644,43.333333333333336,0.6645038907021621,,,,,,94.0
60,michael chang,R,175.0,81.0,63.0,0.43650752057597514,0.3555985685228318,0.44989878602114564,0.5244826846678698,0.8327348639996645,0.5648041472910442,86.51851851851852,0.6615340002805196,240.5,60.9%,42.9%,63.6%,73.1%,8.0
62,horst skoff,R,175.0,24.0,10.0,0.378022375802819,0.2602831196581195,0.4015926883573942,0.49600018037518034,0.679115329115329,0.5593178903072439,90.29166666666667,0.585652136653773,,,,,,74.0
63,jim grabb,R,193.0,28.0,10.0,0.3334168132017519,0.17107803617091547,0.4361841427160976,0.5708111333111333,0.747274585825006,0.6832522741428138,58.17857142857143,0.6123659821798898,185.8,61.8%,39.4%,42.9%,41.7%,55.0
65,francisco roig,R,175.0,11.0,3.0,0.3833825542253033,0.25069516045451873,0.4601731601731602,0.47617407844680576,0.6337683558271795,0.5115088491385873,49.0,0.571831047331679,,,,,,72.0
66,pete sampras,R,185.0,73.0,65.0,0.41418500051879176,0.3174698476688594,0.4548283537150748,0.5691384908850662,0.8960892559337285,0.5853544257261766,58.49315068493151,0.7075036537588439,279.9,67.6%,42.3%,86.7%,83.3%,1.0
67,andrei medvedev,R,193.0,48.0,32.0,0.42432862146464534,0.32354739558686924,0.4447493378511181,0.5273903044123632,0.7562049701029964,0.6447973623602524,67.70833333333333,0.6144502501959157,227.9,58.6%,43.6%,62.5%,63.2%,6.0
68,alberto mancini,R,180.0,4.0,0.0,0.3484931734931735,0.22483766233766234,0.615909090909091,0.5125,0.6666302447552448,0.560621751137102,58.25,0.559278549382716,,,,,,31.0
